test_name,true_category,transform,prediction,token_repr,bucket,attribution,share_of_total
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ċ',newline ×1,0.045482142094289274,0.005060362638281894
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ċ',newline ×1,0.039150471291475246,0.004355898228887169
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.017458731383580325,0.0019424659423937362
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.01781751316618256,0.001982384157420035
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.01697164073796755,0.0018882720282327543
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ċ',newline ×1,0.043467101870733195,0.004836168398688269
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.014220367556201083,0.0015821641939127414
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.01696378264286133,0.0018873977332006262
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.014850996005557757,0.0016523281856866217
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ċ',newline ×1,0.03855910160838641,0.004290102184287698
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.01563154362383665,0.001739172248500329
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.016801017393195606,0.001869288401707146
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.016373156843627383,0.0018216844534379275
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ċ',newline ×1,0.03191179332598192,0.0035505198135258554
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.015524337784692598,0.001727244480852852
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.014751431976703432,0.0016412506491298175
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.015086884788905231,0.001678573272902758
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.013376121790502208,0.001488233047894738
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.0116267901820085,0.001293601662784611
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.010948320162038422,0.0012181147973433714
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.024479231914236562,0.002723569842771192
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ċ',newline ×1,0.024225686626813604,0.0026953602853381294
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.010591404031187416,0.0011784041555311568
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.010809891147694733,0.0012027131258304778
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.014873551505127789,0.001654837720243621
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.016878214401570495,0.0018778773739714155
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.017461737343957666,0.00194280038683468
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.018140144651524796,0.0020182802748670682
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.019511326719201603,0.0021708385798644278
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ċ',newline ×1,0.04112728445413104,0.004575839309288113
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.021865280876789857,0.0024327405291304357
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.0184517127195441,0.0020529454717572674
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.01811226507031085,0.002015178380702683
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.019131679523573697,0.0021285988700349917
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.01884017835400269,0.00209616632487354
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.020088941716467686,0.0022351042722193967
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.020051811930424067,0.0022309731962979282
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.020250776688032344,0.002253110100572324
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.018518764719405126,0.0020604057060227376
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.01894736647303539,0.002108092120973827
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.016259370969377213,0.0018090245882621378
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ċ',newline ×1,0.03269295185761591,0.0036374318468214923
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.015992911135166925,0.0017793781528140187
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.01601608902743775,0.0017819569350498742
TestDelegationTokenRenewer.testAddRemoveRenewAction,0,original,0,'Ġ',spaces ×1,0.015079708497761314,0.001677774835671925
